,7h,12h,16h,24h
YGR121C,8.75635,11.4946,12.7767,8.13882
YIL009W,31.3484,39.6457,18.6018,11.2774
YER089C,40.9982,46.0465,28.9029,17.4509
YML037C,5.24355,2.70107,1.31501,0.585589
YDR383C,7.88679,5.84597,4.49923,3.28258
YNL030W,2002.41,404.635,270.067,142.973
YKL127W,17.9188,7.103,3.96444,4.01683
YPL213W,14.7126,17.0916,15.4539,15.6834
YML117W,10.6467,9.84812,16.1546,12.5407
YDR371W,5.6638,4.87433,1.53091,0.576501
YFL046W,25.9604,17.5385,12.358,5.70437
YLR287C-A,9574.25,5041.96,3069.86,1995.44
YKL194C,6.06777,25.3798,14.7601,9.46058
YNL019C,9.05865,7.05598,10.1058,11.1413
Q0120,0,0.0709471,0.0980699,0.0807115
YGR152C,47.4548,27.618,20.2496,11.6148
YLR455W,22.9785,22.453,18.9148,13.7755
YOR269W,14.2762,8.43344,5.74114,10.986
YJR039W,1.55809,3.30578,3.28482,2.24019
YDL092W,109.463,96.8829,69.4659,49.3605
YDR338C,7.89146,9.04493,14.6276,12.178
YBR181C,1964.85,1258.92,723.598,204.898
YDL110C,77.3258,250.109,184.855,118.469
YER184C,1.28414,2.15852,1.88996,1.27648
YMR085W,0.544671,3.28817,4.52846,8.12145
YFL038C,244.37,298.471,177.42,143.55
YPR139C,48.9479,47.8659,9.61021,5.86957
YCR011C,6.54581,8.67088,4.50052,2.56703
YPL119C,0.769691,3.87209,6.35661,13.8926
YNL199C,25.8602,20.7862,15.5915,11.9049
YLR023C,131.272,225.385,416.594,399.621
YGR275W,36.7658,33.7828,24.9487,23.6791
YBR272C,6.57795,7.7116,6.93253,4.93617
YAL062W,2.54699,6.36253,6.42094,5.97809
YHL018W,4.79795,2.95554,3.57544,1.60679
YLR038C,301.931,762.656,692.504,305.418
YGR121W-A,3.36173,2.34271,2.82642,1.139
YNL271C,8.29616,8.52057,8.49541,6.73013
YGR240C,203.507,120.478,125.277,94.9072
YGR170W,5.36793,4.24036,2.08373,1.19946
YKR090W,10.9539,5.14523,4.8336,3.42185
YPR075C,38.0879,52.9806,67.0706,62.7149
YPL055C,9.6475,11.7417,21.1385,29.2987
YHR008C,247.618,1149.92,313.383,160.339
YHL022C,1.34898,2.16655,1.90362,1.18509
YHR026W,234.879,238.758,200.812,127.941
YOL052C,47.9451,57.5088,34.9644,26.3154
YDR238C,46.8423,31.8187,14.8281,11.0845
YOR022C,2.91487,3.22274,3.59067,4.04092
YML040W,0.808861,0.0230732,0.000734291,0
YIL144W,4.90165,2.92617,3.04409,5.45785
YJL104W,52.4095,79.3203,85.867,75.7947
YHL040C,38.7884,173.95,143.021,59.5184
YAR014C,26.5119,18.455,13.7217,10.3626
YIL031W,6.20806,4.90557,5.08583,8.21476
YHR088W,67.8104,74.5963,46.7905,37.795
YJR005C-A,1.34734,2.12226,8.50677,22.9053
YNL165W,9.41215,9.94468,11.031,10.3353
YDL064W,98.8454,98.4107,72.7956,58.0623
YDR317W,3.13113,4.95307,4.31476,2.06754
YDR365C,46.3431,40.6736,34.0839,22.9666
YGR130C,4.92202,6.40272,6.58895,9.4878
YBL027W,1547.8,1171.1,656.68,256.681
YMR179W,5.16353,2.95191,2.08009,5.26784
YDR224C,979.52,373.179,299.324,155.865
YNR058W,3.54412,3.73523,2.64531,0.727705
YJL146W,9.5121,12.8906,10.3925,7.562
YHR175W-A,61.3032,144.092,110.144,44.3869
YMR310C,90.3812,94.1792,59.1157,40.251
YNL328C,3.21006,3.27031,1.52577,1.00055
YGL009C,93.1672,44.4773,61.9447,41.6747
YCL001W-B,12.977,19.5829,28.5488,43.8938
YBR155W,28.5225,28.5106,17.2476,13.072
YDL197C,4.07077,2.41519,3.71983,5.13262
YLR263W,2.19247,2.011,1.40985,0.731978
YNL132W,33.9765,28.9286,14.6121,10.4744
YNR044W,6.63423,13.5955,4.00119,1.92017
YGR161C,60.5421,64.2032,87.5569,228.912
YDL022W,51.1409,129.683,68.2091,133.612
YLR210W,10.5391,3.78207,2.48804,1.85497
YPL236C,10.2595,14.6215,17.0246,13.7118
YFL017W-A,81.1823,106.125,79.4034,68.323
YHR050W,27.2212,38.6231,68.0908,56.0957
YHL048C-A,79.4502,232.903,86.2989,78.0538
YML071C,5.58403,4.23678,2.11498,1.57211
YPL269W,3.65872,1.75454,1.91193,2.12987
YCR032W,2.6613,2.53647,1.1435,1.18621
YCL045C,43.7345,52.386,42.0563,32.7709
YIR014W,1.58073,4.42939,5.55481,6.31523
YPL228W,8.71731,7.55385,6.04773,5.89948
YNL080C,64.0773,84.0302,91.2966,74.3332
YCR102C,24.6544,25.4273,16.6852,27.1123
YIL156W-B,99.7443,148.869,116.894,87.6788
YGR062C,13.7702,26.6222,32.4076,22.2326
YIL132C,10.7535,4.71794,3.39947,2.15773
YLR052W,35.9041,32.6244,16.8844,11.8003
YER110C,95.138,92.8606,56.2632,49.8574
YOL019W-A,0,0,0,0
YBR165W,29.654,27.4441,33.8679,37.317
YDR398W,90.7566,92.3027,62.8702,47.4704
YHR102W,8.74687,6.41968,7.5529,8.91983
YBR192W,28.6226,39.9997,28.9602,15.3673
YOR123C,28.883,18.1411,15.6478,12.1596
YJL034W,23.9745,25.6402,93.481,203.132
YDR377W,256.18,772.194,994.038,456.735
YBR172C,47.5661,45.5521,46.2293,44.6542
YLR008C,128.628,167.837,131.884,91.7343
YBL022C,7.64744,25.0862,21.1142,27.8954
YNL037C,109.091,223.238,598.284,392.804
